topic, metric, value, alpha, gamma, eta, inference, dataset
6,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
7,pmi,53.8483,1e-05,1e-05,0.000114,crs,denews-25-set1
7,coh,-298.125,1e-05,1e-05,0.000114,crs,denews-25-set1
7,itd,9.92453,1e-05,1e-05,0.000114,crs,denews-25-set1
8,pmi,57.284,1e-05,1e-05,0.000114,crs,denews-25-set1
8,coh,-294.848,1e-05,1e-05,0.000114,crs,denews-25-set1
8,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
9,pmi,40.5784,1e-05,1e-05,0.000114,crs,denews-25-set1
9,coh,-224.474,1e-05,1e-05,0.000114,crs,denews-25-set1
9,itd,9.88679,1e-05,1e-05,0.000114,crs,denews-25-set1
10,pmi,84.3135,1e-05,1e-05,0.000114,crs,denews-25-set1
10,coh,-309.566,1e-05,1e-05,0.000114,crs,denews-25-set1
10,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
11,pmi,-4.13543,1e-05,1e-05,0.000114,crs,denews-25-set1
11,coh,-276.972,1e-05,1e-05,0.000114,crs,denews-25-set1
11,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
12,pmi,3.27428,1e-05,1e-05,0.000114,crs,denews-25-set1
12,coh,-314.758,1e-05,1e-05,0.000114,crs,denews-25-set1
12,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
13,pmi,23.8612,1e-05,1e-05,0.000114,crs,denews-25-set1
13,coh,-320.402,1e-05,1e-05,0.000114,crs,denews-25-set1
13,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
14,pmi,47.5922,1e-05,1e-05,0.000114,crs,denews-25-set1
14,coh,-315.295,1e-05,1e-05,0.000114,crs,denews-25-set1
14,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
15,pmi,12.0271,1e-05,1e-05,0.000114,crs,denews-25-set1
15,coh,-337.595,1e-05,1e-05,0.000114,crs,denews-25-set1
15,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
16,pmi,47.984,1e-05,1e-05,0.000114,crs,denews-25-set1
16,coh,-219.446,1e-05,1e-05,0.000114,crs,denews-25-set1
16,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
17,pmi,57.7876,1e-05,1e-05,0.000114,crs,denews-25-set1
17,coh,-336.562,1e-05,1e-05,0.000114,crs,denews-25-set1
17,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
18,pmi,7.55969,1e-05,1e-05,0.000114,crs,denews-25-set1
18,coh,-296.853,1e-05,1e-05,0.000114,crs,denews-25-set1
18,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
19,pmi,0.045551,1e-05,1e-05,0.000114,crs,denews-25-set1
19,coh,-299.544,1e-05,1e-05,0.000114,crs,denews-25-set1
19,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
20,pmi,30.978,1e-05,1e-05,0.000114,crs,denews-25-set1
20,coh,-229.818,1e-05,1e-05,0.000114,crs,denews-25-set1
20,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
21,pmi,33.7332,1e-05,1e-05,0.000114,crs,denews-25-set1
21,coh,-302.412,1e-05,1e-05,0.000114,crs,denews-25-set1
21,itd,9.92453,1e-05,1e-05,0.000114,crs,denews-25-set1
22,pmi,92.484,1e-05,1e-05,0.000114,crs,denews-25-set1
22,coh,-249.815,1e-05,1e-05,0.000114,crs,denews-25-set1
22,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
23,pmi,81.8583,1e-05,1e-05,0.000114,crs,denews-25-set1
23,coh,-242.167,1e-05,1e-05,0.000114,crs,denews-25-set1
23,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
24,pmi,47.6336,1e-05,1e-05,0.000114,crs,denews-25-set1
24,coh,-300.27,1e-05,1e-05,0.000114,crs,denews-25-set1
24,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
25,pmi,40.5573,1e-05,1e-05,0.000114,crs,denews-25-set1
25,coh,-328.865,1e-05,1e-05,0.000114,crs,denews-25-set1
25,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
26,pmi,66.1552,1e-05,1e-05,0.000114,crs,denews-25-set1
26,coh,-335.118,1e-05,1e-05,0.000114,crs,denews-25-set1
26,itd,9.86792,1e-05,1e-05,0.000114,crs,denews-25-set1
27,pmi,6.3706,1e-05,1e-05,0.000114,crs,denews-25-set1
