topic, pmi, sc, its, alpha, gamma, eta, inference
65,60.9336,-341.705,643,0.0001,0.0001,0.00114811,crs
66,-0.55936,-431.079,632,0.0001,0.0001,0.00114811,crs
0,68.0482,-258.099,630,0.0001,0.0001,0.00114811,rand
1,76.972,-332.097,645,0.0001,0.0001,0.00114811,rand
2,73.648,-307.207,647,0.0001,0.0001,0.00114811,rand
3,54.1558,-303.859,639,0.0001,0.0001,0.00114811,rand
4,35.8282,-307.839,653,0.0001,0.0001,0.00114811,rand
5,68.3206,-356.399,651,0.0001,0.0001,0.00114811,rand
6,49.4848,-301.83,647,0.0001,0.0001,0.00114811,rand
7,30.9221,-316.385,655,0.0001,0.0001,0.00114811,rand
8,46.1351,-265.762,649,0.0001,0.0001,0.00114811,rand
9,37.9157,-309.308,623,0.0001,0.0001,0.00114811,rand
10,65.3547,-323.967,638,0.0001,0.0001,0.00114811,rand
11,53.5163,-288.022,642,0.0001,0.0001,0.00114811,rand
12,41.7251,-269.304,654,0.0001,0.0001,0.00114811,rand
13,62.4694,-224.52,658,0.0001,0.0001,0.00114811,rand
14,52.3027,-424.405,632,0.0001,0.0001,0.00114811,rand
15,-14.5675,-274.067,649,0.0001,0.0001,0.00114811,rand
16,8.34102,-332.308,637,0.0001,0.0001,0.00114811,rand
17,33.7324,-226.148,653,0.0001,0.0001,0.00114811,rand
18,92.5376,-388.223,651,0.0001,0.0001,0.00114811,rand
19,66.8951,-361.038,633,0.0001,0.0001,0.00114811,rand
20,74.9531,-315.823,647,0.0001,0.0001,0.00114811,rand
21,64.794,-342.479,654,0.0001,0.0001,0.00114811,rand
22,35.8719,-279.986,647,0.0001,0.0001,0.00114811,rand
23,77.6085,-312.21,629,0.0001,0.0001,0.00114811,rand
24,103.934,-314.881,646,0.0001,0.0001,0.00114811,rand
25,33.4922,-252.846,655,0.0001,0.0001,0.00114811,rand
26,47.7871,-259.7,639,0.0001,0.0001,0.00114811,rand
27,81.3419,-356.932,626,0.0001,0.0001,0.00114811,rand
28,39.1621,-314.687,642,0.0001,0.0001,0.00114811,rand
29,-12.797,-308.778,649,0.0001,0.0001,0.00114811,rand
30,29.9841,-284.395,653,0.0001,0.0001,0.00114811,rand
31,50.8913,-357.504,652,0.0001,0.0001,0.00114811,rand
32,37.4267,-430.381,653,0.0001,0.0001,0.00114811,rand
33,37.335,-260.784,650,0.0001,0.0001,0.00114811,rand
34,46.686,-356.327,644,0.0001,0.0001,0.00114811,rand
35,38.6024,-382.305,642,0.0001,0.0001,0.00114811,rand
36,37.9689,-372.958,654,0.0001,0.0001,0.00114811,rand
37,55.9226,-314.555,653,0.0001,0.0001,0.00114811,rand
38,71.9797,-355.129,649,0.0001,0.0001,0.00114811,rand
39,34.8961,-348.174,643,0.0001,0.0001,0.00114811,rand
40,44.321,-357.512,646,0.0001,0.0001,0.00114811,rand
41,3.81247,-309.842,652,0.0001,0.0001,0.00114811,rand
42,9.57273,-447.427,628,0.0001,0.0001,0.00114811,rand
43,-54.672,-336.671,649,0.0001,0.0001,0.00114811,rand
44,-8.88701,-423.445,629,0.0001,0.0001,0.00114811,rand
45,40.2787,-408.23,655,0.0001,0.0001,0.00114811,rand
46,76.8238,-217.507,653,0.0001,0.0001,0.00114811,rand
47,44.8306,-359.96,649,0.0001,0.0001,0.00114811,rand
48,13.5297,-400.546,638,0.0001,0.0001,0.00114811,rand
49,50.3052,-221.376,640,0.0001,0.0001,0.00114811,rand
50,21.9784,-356.497,653,0.0001,0.0001,0.00114811,rand
51,-27.1843,-333.184,657,0.0001,0.0001,0.00114811,rand
52,11.0908,-464.872,654,0.0001,0.0001,0.00114811,rand
53,-0.534625,-421.966,618,0.0001,0.0001,0.00114811,rand
54,-12.561,-399.646,650,0.0001,0.0001,0.00114811,rand
55,21.3457,-406.184,630,0.0001,0.0001,0.00114811,rand
56,83.1223,-311.887,652,0.0001,0.0001,0.00114811,rand
57,-29.4186,-356.191,655,0.0001,0.0001,0.00114811,rand
58,38.9127,-396.069,627,0.0001,0.0001,0.00114811,rand
59,20.0581,-386.165,645,0.0001,0.0001,0.00114811,rand
60,-29.5191,-378.058,640,0.0001,0.0001,0.00114811,rand
61,11.2541,-421.007,625,0.0001,0.0001,0.00114811,rand
62,3.80502,-331.742,633,0.0001,0.0001,0.00114811,rand
63,40.0052,-326.853,647,0.0001,0.0001,0.00114811,rand
64,-2.70598,-341.736,652,0.0001,0.0001,0.00114811,rand
65,-53.0197,-418.581,634,0.0001,0.0001,0.00114811,rand
66,3.61216,-414.65,624,0.0001,0.0001,0.00114811,rand
0,62.7035,-338.113,642,0.0001,0.0001,0.00114811,rgs
1,76.972,-286.728,661,0.0001,0.0001,0.00114811,rgs
2,50.8937,-305.949,651,0.0001,0.0001,0.00114811,rgs
3,32.5234,-300.81,672,0.0001,0.0001,0.00114811,rgs
4,68.3206,-356.399,664,0.0001,0.0001,0.00114811,rgs
5,43.0625,-285.327,669,0.0001,0.0001,0.00114811,rgs
6,51.462,-203.449,665,0.0001,0.0001,0.00114811,rgs
7,75.153,-358.914,659,0.0001,0.0001,0.00114811,rgs
8,65.5039,-256.236,662,0.0001,0.0001,0.00114811,rgs
9,53.5163,-264.009,659,0.0001,0.0001,0.00114811,rgs
10,43.7617,-241.41,672,0.0001,0.0001,0.00114811,rgs
11,53.4685,-205.106,674,0.0001,0.0001,0.00114811,rgs
12,45.8272,-347.309,671,0.0001,0.0001,0.00114811,rgs
13,50.2404,-378.175,664,0.0001,0.0001,0.00114811,rgs
14,35.3403,-265.472,669,0.0001,0.0001,0.00114811,rgs
15,37.0448,-344.299,674,0.0001,0.0001,0.00114811,rgs
16,40.7417,-310.534,656,0.0001,0.0001,0.00114811,rgs
17,60.4467,-346.912,669,0.0001,0.0001,0.00114811,rgs
18,72.2108,-321.754,664,0.0001,0.0001,0.00114811,rgs
19,58.4589,-343.731,679,0.0001,0.0001,0.00114811,rgs
20,67.1697,-298.841,653,0.0001,0.0001,0.00114811,rgs
21,36.3327,-286.19,667,0.0001,0.0001,0.00114811,rgs
22,34.3749,-376.874,658,0.0001,0.0001,0.00114811,rgs
23,74.9037,-241.035,666,0.0001,0.0001,0.00114811,rgs
24,72.477,-223.907,664,0.0001,0.0001,0.00114811,rgs
25,29.0034,-235.839,671,0.0001,0.0001,0.00114811,rgs
26,32.2916,-254.035,663,0.0001,0.0001,0.00114811,rgs
27,104.502,-349.403,669,0.0001,0.0001,0.00114811,rgs
28,39.1621,-331.716,661,0.0001,0.0001,0.00114811,rgs
29,41.1468,-311.563,635,0.0001,0.0001,0.00114811,rgs
30,76.646,-323.048,650,0.0001,0.0001,0.00114811,rgs
31,83.2306,-354.924,643,0.0001,0.0001,0.00114811,rgs
32,64.4459,-281.294,642,0.0001,0.0001,0.00114811,rgs
33,34.697,-296.467,667,0.0001,0.0001,0.00114811,rgs
34,87.9677,-189.713,648,0.0001,0.0001,0.00114811,rgs
35,60.4141,-347.337,668,0.0001,0.0001,0.00114811,rgs
36,38.8295,-256.346,656,0.0001,0.0001,0.00114811,rgs
37,31.0584,-297.706,671,0.0001,0.0001,0.00114811,rgs
38,41.2904,-373.191,664,0.0001,0.0001,0.00114811,rgs
39,5.93139,-346.275,664,0.0001,0.0001,0.00114811,rgs
40,45.6484,-296.709,672,0.0001,0.0001,0.00114811,rgs
41,6.31669,-334.123,670,0.0001,0.0001,0.00114811,rgs
42,-0.966017,-313.963,669,0.0001,0.0001,0.00114811,rgs
43,32.4761,-440.764,662,0.0001,0.0001,0.00114811,rgs
44,34.443,-358.223,672,0.0001,0.0001,0.00114811,rgs
45,69.3099,-377.966,664,0.0001,0.0001,0.00114811,rgs
46,17.5382,-444.433,638,0.0001,0.0001,0.00114811,rgs
47,31.9156,-303.644,673,0.0001,0.0001,0.00114811,rgs
48,22.4706,-433.844,671,0.0001,0.0001,0.00114811,rgs
49,51.8374,-391.228,662,0.0001,0.0001,0.00114811,rgs
50,11.8216,-419.05,642,0.0001,0.0001,0.00114811,rgs
51,30.4307,-359.161,668,0.0001,0.0001,0.00114811,rgs
52,37.0477,-394.755,648,0.0001,0.0001,0.00114811,rgs
53,-38.5073,-382.624,643,0.0001,0.0001,0.00114811,rgs
54,29.177,-431.904,664,0.0001,0.0001,0.00114811,rgs
55,27.0609,-404.052,652,0.0001,0.0001,0.00114811,rgs
56,15.5151,-365.292,670,0.0001,0.0001,0.00114811,rgs
57,1.07653,-414.067,653,0.0001,0.0001,0.00114811,rgs
58,27.2767,-359.365,674,0.0001,0.0001,0.00114811,rgs
59,18.3182,-350.128,642,0.0001,0.0001,0.00114811,rgs
60,35.2128,-439.865,644,0.0001,0.0001,0.00114811,rgs
61,27.2297,-400.138,651,0.0001,0.0001,0.00114811,rgs
62,-28.8619,-298.806,657,0.0001,0.0001,0.00114811,rgs
63,76.8238,-242.815,675,0.0001,0.0001,0.00114811,rgs
64,11.1227,-338.764,644,0.0001,0.0001,0.00114811,rgs
65,35.271,-407.714,672,0.0001,0.0001,0.00114811,rgs
66,32.1536,-375.164,654,0.0001,0.0001,0.00114811,rgs
67,14.4579,-348.531,669,0.0001,0.0001,0.00114811,rgs
68,43.2407,-359.407,649,0.0001,0.0001,0.00114811,rgs
0,75.9765,-271.796,774,0.0001,0.0001,0.00114811,sa
1,54.6996,-287.55,768,0.0001,0.0001,0.00114811,sa
2,64.5607,-328.936,772,0.0001,0.0001,0.00114811,sa
3,32.5234,-285.005,781,0.0001,0.0001,0.00114811,sa
4,52.2662,-336.942,773,0.0001,0.0001,0.00114811,sa
5,64.3273,-314.595,772,0.0001,0.0001,0.00114811,sa
6,39.9761,-338.541,769,0.0001,0.0001,0.00114811,sa
7,51.9607,-205.294,771,0.0001,0.0001,0.00114811,sa
8,56.7046,-329.466,753,0.0001,0.0001,0.00114811,sa
9,72.0382,-214.466,771,0.0001,0.0001,0.00114811,sa
10,53.5836,-267.254,777,0.0001,0.0001,0.00114811,sa
11,41.7251,-288.927,781,0.0001,0.0001,0.00114811,sa
12,50.5296,-366.834,780,0.0001,0.0001,0.00114811,sa
13,52.2867,-199.078,779,0.0001,0.0001,0.00114811,sa
14,40.0228,-326.539,773,0.0001,0.0001,0.00114811,sa
15,60.2275,-333.055,765,0.0001,0.0001,0.00114811,sa
16,63.1904,-382.061,762,0.0001,0.0001,0.00114811,sa
17,50.8937,-269.949,760,0.0001,0.0001,0.00114811,sa
18,-11.2901,-303.553,784,0.0001,0.0001,0.00114811,sa
19,49.9751,-240.723,766,0.0001,0.0001,0.00114811,sa
20,83.2306,-321.284,744,0.0001,0.0001,0.00114811,sa
21,42.8335,-426.935,777,0.0001,0.0001,0.00114811,sa
22,68.8179,-272.413,767,0.0001,0.0001,0.00114811,sa
23,60.9713,-305.605,757,0.0001,0.0001,0.00114811,sa
24,70.3875,-377.712,780,0.0001,0.0001,0.00114811,sa
25,36.0657,-269.443,786,0.0001,0.0001,0.00114811,sa
26,59.9428,-259.155,771,0.0001,0.0001,0.00114811,sa
27,32.4378,-292.975,776,0.0001,0.0001,0.00114811,sa
28,90.1697,-382.415,780,0.0001,0.0001,0.00114811,sa
29,39.416,-359.879,768,0.0001,0.0001,0.00114811,sa
30,47.0943,-353.559,767,0.0001,0.0001,0.00114811,sa
31,7.53668,-307.298,786,0.0001,0.0001,0.00114811,sa
32,53.4371,-257.89,775,0.0001,0.0001,0.00114811,sa
33,67.2423,-345.498,783,0.0001,0.0001,0.00114811,sa
34,23.2989,-237.474,771,0.0001,0.0001,0.00114811,sa
35,5.77464,-356.748,772,0.0001,0.0001,0.00114811,sa
36,-35.0457,-348.05,783,0.0001,0.0001,0.00114811,sa
37,67.8391,-382.038,769,0.0001,0.0001,0.00114811,sa
38,41.4459,-278.818,768,0.0001,0.0001,0.00114811,sa
39,34.5164,-333.548,780,0.0001,0.0001,0.00114811,sa
40,-9.96387,-319.697,783,0.0001,0.0001,0.00114811,sa
41,49.0581,-357.348,776,0.0001,0.0001,0.00114811,sa
42,54.9342,-422.442,775,0.0001,0.0001,0.00114811,sa
