topic, metric, value, alpha, gamma, eta, inference, dataset
8,coh,-301.494,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
8,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
9,pmi,94.7595,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
9,coh,-301.25,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
9,itd,9.94737,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
10,pmi,87.8383,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
10,coh,-328.955,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
10,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
11,pmi,110.495,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
11,coh,-315.317,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
11,itd,9.94737,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
12,pmi,57.2997,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
12,coh,-318.484,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
12,itd,9.78947,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
13,pmi,55.0832,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
13,coh,-321.836,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
13,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
14,pmi,84.1007,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
14,coh,-265.307,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
14,itd,9.78947,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
15,pmi,134.175,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
15,coh,-230.436,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
15,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
16,pmi,261.034,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
16,coh,-206.76,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
16,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
17,pmi,80.1452,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
17,coh,-249.439,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
17,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
18,pmi,139.58,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
18,coh,-345.328,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
18,itd,10,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
19,pmi,74.7522,1.00E-05,1.00E-05,0.000154,rand,ap-50-set3
