topic, metric, value, alpha, gamma, eta, inference, dataset
57,itd,9.96667,1.00E-05,1.00E-05,0.000114,rand,denews
58,itd,10,1.00E-05,1.00E-05,0.000114,rand,denews
59,itd,9.95,1.00E-05,1.00E-05,0.000114,rand,denews
60,itd,9.88333,1.00E-05,1.00E-05,0.000114,rand,denews
0,pmi,66.1552,1.00E-05,1.00E-05,0.000114,rand,denews
1,pmi,85.5363,1.00E-05,1.00E-05,0.000114,rand,denews
2,pmi,-29.5523,1.00E-05,1.00E-05,0.000114,rand,denews
3,pmi,47.8371,1.00E-05,1.00E-05,0.000114,rand,denews
4,pmi,48.6152,1.00E-05,1.00E-05,0.000114,rand,denews
5,pmi,65.941,1.00E-05,1.00E-05,0.000114,rand,denews
6,pmi,55.9522,1.00E-05,1.00E-05,0.000114,rand,denews
7,pmi,76.4353,1.00E-05,1.00E-05,0.000114,rand,denews
8,pmi,14.366,1.00E-05,1.00E-05,0.000114,rand,denews
9,pmi,3.38577,1.00E-05,1.00E-05,0.000114,rand,denews
10,pmi,84.3135,1.00E-05,1.00E-05,0.000114,rand,denews
11,pmi,54.4047,1.00E-05,1.00E-05,0.000114,rand,denews
12,pmi,17.5445,1.00E-05,1.00E-05,0.000114,rand,denews
13,pmi,38.5783,1.00E-05,1.00E-05,0.000114,rand,denews
14,pmi,31.4534,1.00E-05,1.00E-05,0.000114,rand,denews
15,pmi,0.439105,1.00E-05,1.00E-05,0.000114,rand,denews
16,pmi,-16.4806,1.00E-05,1.00E-05,0.000114,rand,denews
17,pmi,72.3738,1.00E-05,1.00E-05,0.000114,rand,denews
18,pmi,57.8985,1.00E-05,1.00E-05,0.000114,rand,denews
19,pmi,43.626,1.00E-05,1.00E-05,0.000114,rand,denews
20,pmi,54.0493,1.00E-05,1.00E-05,0.000114,rand,denews
21,pmi,52.2067,1.00E-05,1.00E-05,0.000114,rand,denews
22,pmi,13.2811,1.00E-05,1.00E-05,0.000114,rand,denews
23,pmi,28.8859,1.00E-05,1.00E-05,0.000114,rand,denews
24,pmi,28.1393,1.00E-05,1.00E-05,0.000114,rand,denews
25,pmi,10.5878,1.00E-05,1.00E-05,0.000114,rand,denews
26,pmi,16.9513,1.00E-05,1.00E-05,0.000114,rand,denews
27,pmi,51.8833,1.00E-05,1.00E-05,0.000114,rand,denews
28,pmi,53.6117,1.00E-05,1.00E-05,0.000114,rand,denews
29,pmi,55.9255,1.00E-05,1.00E-05,0.000114,rand,denews
30,pmi,32.6963,1.00E-05,1.00E-05,0.000114,rand,denews
31,pmi,37.7537,1.00E-05,1.00E-05,0.000114,rand,denews
32,pmi,7.13883,1.00E-05,1.00E-05,0.000114,rand,denews
33,pmi,40.0268,1.00E-05,1.00E-05,0.000114,rand,denews
34,pmi,21.9209,1.00E-05,1.00E-05,0.000114,rand,denews
35,pmi,18.6532,1.00E-05,1.00E-05,0.000114,rand,denews
36,pmi,-16.2013,1.00E-05,1.00E-05,0.000114,rand,denews
37,pmi,43.4561,1.00E-05,1.00E-05,0.000114,rand,denews
38,pmi,56.2538,1.00E-05,1.00E-05,0.000114,rand,denews
39,pmi,51.0841,1.00E-05,1.00E-05,0.000114,rand,denews
