topic, metric, value, alpha, gamma, eta, inference, dataset
12,coh,-314.758,1e-05,1e-05,0.000114,crs,denews-25-set1
12,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
13,pmi,72.2177,1e-05,1e-05,0.000114,crs,denews-25-set1
13,coh,-320.402,1e-05,1e-05,0.000114,crs,denews-25-set1
13,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
14,pmi,99.0878,1e-05,1e-05,0.000114,crs,denews-25-set1
14,coh,-315.295,1e-05,1e-05,0.000114,crs,denews-25-set1
14,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
15,pmi,158.812,1e-05,1e-05,0.000114,crs,denews-25-set1
15,coh,-337.595,1e-05,1e-05,0.000114,crs,denews-25-set1
15,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
16,pmi,127.465,1e-05,1e-05,0.000114,crs,denews-25-set1
16,coh,-219.446,1e-05,1e-05,0.000114,crs,denews-25-set1
16,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
17,pmi,82.2544,1e-05,1e-05,0.000114,crs,denews-25-set1
17,coh,-336.562,1e-05,1e-05,0.000114,crs,denews-25-set1
17,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
18,pmi,96.4147,1e-05,1e-05,0.000114,crs,denews-25-set1
18,coh,-296.853,1e-05,1e-05,0.000114,crs,denews-25-set1
18,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
19,pmi,145.374,1e-05,1e-05,0.000114,crs,denews-25-set1
19,coh,-299.544,1e-05,1e-05,0.000114,crs,denews-25-set1
19,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
20,pmi,158.159,1e-05,1e-05,0.000114,crs,denews-25-set1
20,coh,-229.818,1e-05,1e-05,0.000114,crs,denews-25-set1
20,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
21,pmi,138.529,1e-05,1e-05,0.000114,crs,denews-25-set1
21,coh,-302.412,1e-05,1e-05,0.000114,crs,denews-25-set1
21,itd,9.92453,1e-05,1e-05,0.000114,crs,denews-25-set1
22,pmi,132.925,1e-05,1e-05,0.000114,crs,denews-25-set1
22,coh,-249.815,1e-05,1e-05,0.000114,crs,denews-25-set1
22,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
23,pmi,252.413,1e-05,1e-05,0.000114,crs,denews-25-set1
23,coh,-242.167,1e-05,1e-05,0.000114,crs,denews-25-set1
23,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
24,pmi,48.0391,1e-05,1e-05,0.000114,crs,denews-25-set1
24,coh,-300.27,1e-05,1e-05,0.000114,crs,denews-25-set1
24,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
25,pmi,40.9891,1e-05,1e-05,0.000114,crs,denews-25-set1
25,coh,-328.865,1e-05,1e-05,0.000114,crs,denews-25-set1
25,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
26,pmi,66.2605,1e-05,1e-05,0.000114,crs,denews-25-set1
26,coh,-335.118,1e-05,1e-05,0.000114,crs,denews-25-set1
26,itd,9.86792,1e-05,1e-05,0.000114,crs,denews-25-set1
27,pmi,121.296,1e-05,1e-05,0.000114,crs,denews-25-set1
27,coh,-225.925,1e-05,1e-05,0.000114,crs,denews-25-set1
27,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
28,pmi,165.364,1e-05,1e-05,0.000114,crs,denews-25-set1
28,coh,-306.224,1e-05,1e-05,0.000114,crs,denews-25-set1
28,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
29,pmi,96.1701,1e-05,1e-05,0.000114,crs,denews-25-set1
29,coh,-315.236,1e-05,1e-05,0.000114,crs,denews-25-set1
29,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
30,pmi,56.2388,1e-05,1e-05,0.000114,crs,denews-25-set1
30,coh,-218.547,1e-05,1e-05,0.000114,crs,denews-25-set1
30,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
31,pmi,108.577,1e-05,1e-05,0.000114,crs,denews-25-set1
31,coh,-364.466,1e-05,1e-05,0.000114,crs,denews-25-set1
31,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
32,pmi,41.8324,1e-05,1e-05,0.000114,crs,denews-25-set1
32,coh,-317.956,1e-05,1e-05,0.000114,crs,denews-25-set1
32,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
33,pmi,242.535,1e-05,1e-05,0.000114,crs,denews-25-set1
33,coh,-263.585,1e-05,1e-05,0.000114,crs,denews-25-set1
33,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
34,pmi,75.4621,1e-05,1e-05,0.000114,crs,denews-25-set1
34,coh,-138.675,1e-05,1e-05,0.000114,crs,denews-25-set1
34,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
35,pmi,94.4372,1e-05,1e-05,0.000114,crs,denews-25-set1
35,coh,-308.051,1e-05,1e-05,0.000114,crs,denews-25-set1
35,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
36,pmi,259.644,1e-05,1e-05,0.000114,crs,denews-25-set1
36,coh,-259.649,1e-05,1e-05,0.000114,crs,denews-25-set1
36,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
37,pmi,52.0531,1e-05,1e-05,0.000114,crs,denews-25-set1
37,coh,-252.829,1e-05,1e-05,0.000114,crs,denews-25-set1
37,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
38,pmi,205.644,1e-05,1e-05,0.000114,crs,denews-25-set1
38,coh,-189.224,1e-05,1e-05,0.000114,crs,denews-25-set1
38,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
39,pmi,70.5726,1e-05,1e-05,0.000114,crs,denews-25-set1
39,coh,-225.469,1e-05,1e-05,0.000114,crs,denews-25-set1
39,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
40,pmi,146.011,1e-05,1e-05,0.000114,crs,denews-25-set1
40,coh,-273.442,1e-05,1e-05,0.000114,crs,denews-25-set1
40,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
41,pmi,403.54,1e-05,1e-05,0.000114,crs,denews-25-set1
41,coh,-170.22,1e-05,1e-05,0.000114,crs,denews-25-set1
41,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
42,pmi,77.862,1e-05,1e-05,0.000114,crs,denews-25-set1
42,coh,-356.223,1e-05,1e-05,0.000114,crs,denews-25-set1
42,itd,9.98113,1e-05,1e-05,0.000114,crs,denews-25-set1
43,pmi,112.405,1e-05,1e-05,0.000114,crs,denews-25-set1
43,coh,-271.224,1e-05,1e-05,0.000114,crs,denews-25-set1
43,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
44,pmi,52.126,1e-05,1e-05,0.000114,crs,denews-25-set1
44,coh,-256.208,1e-05,1e-05,0.000114,crs,denews-25-set1
44,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
45,pmi,32.823,1e-05,1e-05,0.000114,crs,denews-25-set1
45,coh,-260.704,1e-05,1e-05,0.000114,crs,denews-25-set1
45,itd,9.9434,1e-05,1e-05,0.000114,crs,denews-25-set1
46,pmi,161.913,1e-05,1e-05,0.000114,crs,denews-25-set1
46,coh,-283.366,1e-05,1e-05,0.000114,crs,denews-25-set1
46,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
47,pmi,356.466,1e-05,1e-05,0.000114,crs,denews-25-set1
47,coh,-294.063,1e-05,1e-05,0.000114,crs,denews-25-set1
47,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
48,pmi,61.8347,1e-05,1e-05,0.000114,crs,denews-25-set1
48,coh,-357.902,1e-05,1e-05,0.000114,crs,denews-25-set1
48,itd,9.96226,1e-05,1e-05,0.000114,crs,denews-25-set1
49,pmi,51.7149,1e-05,1e-05,0.000114,crs,denews-25-set1
49,coh,-343.398,1e-05,1e-05,0.000114,crs,denews-25-set1
49,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
50,pmi,414.709,1e-05,1e-05,0.000114,crs,denews-25-set1
50,coh,-315.924,1e-05,1e-05,0.000114,crs,denews-25-set1
50,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
51,pmi,218.352,1e-05,1e-05,0.000114,crs,denews-25-set1
51,coh,-292.198,1e-05,1e-05,0.000114,crs,denews-25-set1
51,itd,9.88679,1e-05,1e-05,0.000114,crs,denews-25-set1
52,pmi,33.2913,1e-05,1e-05,0.000114,crs,denews-25-set1
52,coh,-283.046,1e-05,1e-05,0.000114,crs,denews-25-set1
52,itd,9.90566,1e-05,1e-05,0.000114,crs,denews-25-set1
53,pmi,118.461,1e-05,1e-05,0.000114,crs,denews-25-set1
53,coh,-308.543,1e-05,1e-05,0.000114,crs,denews-25-set1
53,itd,10,1e-05,1e-05,0.000114,crs,denews-25-set1
0,pmi,66.2605,1e-05,1e-05,0.000114,rand,denews-25-set1
0,coh,-335.118,1e-05,1e-05,0.000114,rand,denews-25-set1
0,itd,9.8,1e-05,1e-05,0.000114,rand,denews-25-set1
1,pmi,86.1928,1e-05,1e-05,0.000114,rand,denews-25-set1
1,coh,-276.982,1e-05,1e-05,0.000114,rand,denews-25-set1
1,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
2,pmi,119.842,1e-05,1e-05,0.000114,rand,denews-25-set1
2,coh,-248.017,1e-05,1e-05,0.000114,rand,denews-25-set1
2,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
3,pmi,53.833,1e-05,1e-05,0.000114,rand,denews-25-set1
3,coh,-290.551,1e-05,1e-05,0.000114,rand,denews-25-set1
3,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
4,pmi,73.5478,1e-05,1e-05,0.000114,rand,denews-25-set1
4,coh,-293.554,1e-05,1e-05,0.000114,rand,denews-25-set1
4,itd,9.85,1e-05,1e-05,0.000114,rand,denews-25-set1
5,pmi,49.3379,1e-05,1e-05,0.000114,rand,denews-25-set1
5,coh,-247.359,1e-05,1e-05,0.000114,rand,denews-25-set1
5,itd,9.73333,1e-05,1e-05,0.000114,rand,denews-25-set1
6,pmi,56.381,1e-05,1e-05,0.000114,rand,denews-25-set1
6,coh,-270.007,1e-05,1e-05,0.000114,rand,denews-25-set1
6,itd,9.7,1e-05,1e-05,0.000114,rand,denews-25-set1
7,pmi,75.4746,1e-05,1e-05,0.000114,rand,denews-25-set1
7,coh,-298.127,1e-05,1e-05,0.000114,rand,denews-25-set1
7,itd,9.71667,1e-05,1e-05,0.000114,rand,denews-25-set1
8,pmi,93.6202,1e-05,1e-05,0.000114,rand,denews-25-set1
8,coh,-332.92,1e-05,1e-05,0.000114,rand,denews-25-set1
8,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
9,pmi,144.18,1e-05,1e-05,0.000114,rand,denews-25-set1
9,coh,-326.867,1e-05,1e-05,0.000114,rand,denews-25-set1
9,itd,9.88333,1e-05,1e-05,0.000114,rand,denews-25-set1
10,pmi,123.011,1e-05,1e-05,0.000114,rand,denews-25-set1
10,coh,-288.619,1e-05,1e-05,0.000114,rand,denews-25-set1
10,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
11,pmi,78.3763,1e-05,1e-05,0.000114,rand,denews-25-set1
11,coh,-224.898,1e-05,1e-05,0.000114,rand,denews-25-set1
11,itd,9.93333,1e-05,1e-05,0.000114,rand,denews-25-set1
12,pmi,89.5522,1e-05,1e-05,0.000114,rand,denews-25-set1
12,coh,-256.671,1e-05,1e-05,0.000114,rand,denews-25-set1
12,itd,9.8,1e-05,1e-05,0.000114,rand,denews-25-set1
13,pmi,72.2467,1e-05,1e-05,0.000114,rand,denews-25-set1
13,coh,-329.842,1e-05,1e-05,0.000114,rand,denews-25-set1
13,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
14,pmi,96.9771,1e-05,1e-05,0.000114,rand,denews-25-set1
14,coh,-281.003,1e-05,1e-05,0.000114,rand,denews-25-set1
14,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
15,pmi,156.938,1e-05,1e-05,0.000114,rand,denews-25-set1
15,coh,-319.532,1e-05,1e-05,0.000114,rand,denews-25-set1
15,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
16,pmi,94.1874,1e-05,1e-05,0.000114,rand,denews-25-set1
16,coh,-275.339,1e-05,1e-05,0.000114,rand,denews-25-set1
16,itd,9.98333,1e-05,1e-05,0.000114,rand,denews-25-set1
17,pmi,72.8737,1e-05,1e-05,0.000114,rand,denews-25-set1
17,coh,-273.262,1e-05,1e-05,0.000114,rand,denews-25-set1
17,itd,9.96667,1e-05,1e-05,0.000114,rand,denews-25-set1
18,pmi,65.5576,1e-05,1e-05,0.000114,rand,denews-25-set1
